﻿назва,сектор,тип_бізнесу,зона,телефон,вебсайт,рейтинг,кількість_відгуків,має_сайт,має_чатбота,має_інстаграм,має_фейсбук,цифровий_стан,рівень_послуги,ціна,рекомендований_продукт,основні_потреби
Milk & Honey Bar Bistro,Готельно-ресторанний бізнес,Таверна,Інша,604 40 06 95,https://milkhoney.es/,4.5,372,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Punto Amor by Loucas Mengal,Готельно-ресторанний бізнес,Ресторан високої французької кухні,Інша,604 47 85 04,https://www.puntoamor.com/,4.8,197,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
BAR. Restaurante. Mágica,Готельно-ресторанний бізнес,Ресторан,Інша,602 11 40 92,https://restaurantemagica.com/,4.7,27,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Physical Therapy Clinic Villamartin,Медицина та здоров'я,Клініка,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + онлайн запис,Немає власного сайту  ·  Немає активності в соціальних мережах  ·  Немає інформації про послуги англійською для міжнародних туристів
SkinIQ Med,Медицина та здоров'я,Клініка,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + онлайн запис,Цифрова присутність відсутня
Artedent Orihuela,Медицина та здоров'я,Клініка,Orihuela,966 739 044,https://artedentorihuela.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії  ·  Немає Instagram  ·  Немає контенту для іноземних пацієнтів (туристична зона)
Centro Médico Punta Prima Dr. Schuerman,Медицина та здоров'я,Клініка,,,http://doctororihuelacosta.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Немає активності в соціальних мережах + Вебсайт застарілий без навчального контенту для міжнародних пацієнтів
Centro Médico Virgen de la Caridad Campoamor,Медицина та здоров'я,Клініка,Campoamor,,https://cmvcaridad.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії  ·  Немає активності в соціальних мережах  ·  Немає інформації про послуги англійською для іноземних пацієнтів
Clínica Cabo Roig (Médica),Медицина та здоров'я,Клініка,,,https://clinicacaboroig.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,"Вебсайт без англійської версії  ·  Немає Instagram  ·  Немає інформації про послуги англійською для туристів, що говорять англійською, на узбережжі"
Clínica Dental Gilabert,Медицина та здоров'я,Клініка,Orihuela Costa,,https://clinicagilabert.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Clínica Doctora Ceballos,Медицина та здоров'я,Клініка,,,https://clinicadoctoraceballos.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Clínica Escudero Osteopatía y Fisioterapia,Медицина та здоров'я,Клініка,,,https://clinicaescudero.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
Clínica Fiseum,Медицина та здоров'я,Клініка,,,https://clinicafiseum.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії + Немає інформації про послуги англійською для пацієнтів-експатів
Clínica Vitaelia,Медицина та здоров'я,Клініка,,,https://clinicavitaelia.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії для експатів у Orihuela Costa
Fisiocen Orihuela,Медицина та здоров'я,Клініка,Orihuela,,https://fisiocenorihuela.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
Fisioterapia en La Zenia,Медицина та здоров'я,Клініка,,,https://www.fisioterapiaenlazenia.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона для експатів) + Немає активності в соціальних мережах
La Zenia Mind Hub,Медицина та здоров'я,Клініка,,,https://lazeniamindhub.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона) — центр психології та психоемоційної терапії в La Zenia з вебсайтом лише іспанською та без активних соціальних мереж
One Clinic Orihuela,Медицина та здоров'я,Клініка,,,https://oneclinicsar.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії — багатопрофільна клініка без контенту для англомовних пацієнтів на узбережжі
Orioldent,Медицина та здоров'я,Клініка,,,https://orioldent.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
Physiotherapy & Osteopathy Clinic Orihuela Costa,Медицина та здоров'я,Клініка,,,https://www.physiosteopath.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Немає активності в соціальних мережах (Instagram/Facebook не виявлено)  ·  Немає маркетингу послуг у соціальних мережах  ·  Потенційні міжнародні пацієнти не
Sanydent Villamartin,Медицина та здоров'я,Клініка,Villamartin,,https://sanydent.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Онлайн запис + багатомовність,Немає активності в соціальних мережах
Viapark Dental,Медицина та здоров'я,Клініка,,,https://viaparkdental.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Онлайн запис + багатомовність,Немає активності в соціальних мережах
Óptica Fischer,Медицина та здоров'я,Клініка,,,https://opticafischer.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Maison Costa Blanca,Нерухомість,Рієлторська агенція,Інша,966 76 40 17,,4.8,141,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
10 Soles Inmobiliaria,Нерухомість,Рієлторська агенція,Інша,661 74 84 10,,4.5,121,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Barceló Real Estate,Нерухомість,Рієлторська агенція,Інша,966 36 74 14,,0.0,0,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Grupo Inmobiliario Orihuela Costa SL,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту
Properties Orihuela Costa Real Estate,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає гідів покупок для іноземців
Spanish Costa Homes,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту — лише присутність у Facebook. Агенція Оріуела-Коста невидима в пошукових системах для міжнародних покупців.
Store Torrevieja - Orihuela Costa,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає контенту для міжнародних покупців
SunKey Spain Real State,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає контенту для міжнародних покупців
Inmosureste Orihuela,Нерухомість,Рієлторська агенція,Інша,965 30 61 28,http://www.inmosureste.es/,4.0,71,Sí,No,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Rosa Mediterranean Houses,Нерухомість,Рієлторська агенція,La Florida,965 32 80 74,https://www.rosamh.com/es,4.6,204,Sí,Sí,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає соціальних мереж
Mevilla Real Estate,Нерухомість,Рієлторські агенти,Cabo Roig,606 04 62 75,http://www.mevilla.com/,4.8,92,Sí,Sí,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає соціальних мереж
123 immo Orihuela Costa,Нерухомість,Рієлторська агенція,,,https://123immo.es/en/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,"Немає контенту для міжнародних покупців — вебсайт мультигломовний та активний Facebook, але без Instagram в туристичній зоні, де покупець міжнародний"
AV Cabo Roig,Нерухомість,Рієлторська агенція,,,https://www.avcaboroig.com,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Corruso Estate,Нерухомість,Рієлторська агенція,,,https://corruso.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає активності в соціальних мережах
Dayas & Partners,Нерухомість,Рієлторська агенція,,,https://www.dayas.org,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Encompass Estate Agent,Нерухомість,Рієлторська агенція,,,https://encompassestateagent.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,"Немає активності в соціальних мережах, виявленої — вебсайт двомовний, але без активного Instagram або Facebook. Немає гідів покупок для іноземців або навчального контенту"
Grupo Orisalia,Нерухомість,Рієлторська агенція,,,https://grupoorisalia.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
Inmobiliaria Aragón,Нерухомість,Рієлторська агенція,,,https://inmoaragonorihuela.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії — сімейне агентство з десятиліттями досвіду в Orihuela без виявленого Instagram або Facebook
Inmobiliaria Gonga,Нерухомість,Рієлторська агенція,,,https://inmobiliariagonga.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає активності в соціальних мережах
Inmobiliaria Oriolana 2001,Нерухомість,Рієлторська агенція,,,https://www.inmoriolana2001.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії — агентство з 20+ років досвіду в Orihuela без контенту для міжнародних покупців та Instagram
Interros Inmobiliaria,Нерухомість,Рієлторська агенція,,,https://alicante-costa.com,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,"Немає активності в соціальних мережах — без Instagram або Facebook, хоча вже 26 років досвіду та вебсайт двомовний"
La Casablanca Estates,Нерухомість,Рієлторська агенція,,,https://www.lacasablancaestates.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає гідів покупок для іноземців  ·  Немає активності в соціальних мережах
Lavanda Real Estate,Нерухомість,Рієлторська агенція,,,https://www.lavandarealestate.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,"Немає активності в соціальних мережах — вебсайт англійською, але без виявленого Instagram або Facebook. Немає гідів покупок для іноземних покупців в блозі"
O'Costa Real Estate,Нерухомість,Рієлторська агенція,,,https://www.o-costa.es/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії  ·  Немає контенту для міжнародних покупців
OK Inmobiliaria,Нерухомість,Рієлторська агенція,,,https://www.okinmobiliaria.es/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії — туристична зона з високим попитом на європейських покупців. Немає контенту для міжнародних покупців. Facebook з ~900
RK Red Oriol,Нерухомість,Рієлторська агенція,,,https://www.redoriol.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
ROOKE Inmobiliaria Mil Palmeras,Нерухомість,Рієлторська агенція,,,https://www.inmorooke.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Spain Estate Costa Blanca,Нерухомість,Рієлторська агенція,,,https://spainestate.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Sunworld Estates,Нерухомість,Рієлторська агенція,,,https://www.sunworld.es,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,
United Real Estate Campoamor,Нерухомість,Рієлторська агенція,,,https://www.unitedrealestate.es/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає активності в соціальних мережах
Adaleta  ·  Costa Blanca Real Estate,Нерухомість,Рієлторська агенція,Інша,865 94 20 48,https://www.adaletaspain.com/,5.0,67,Sí,No,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Немає чатбота  ·  Залежність від телефону
REMAX Beach Homes  Agencia Inmobiliaria en Orihuela Costa,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,966 91 07 69,http://remaxbeachhomes.es/,4.8,125,Sí,No,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Немає чатбота  ·  Залежність від телефону
Century 21 Mediterranean Homes  ·  Inmobiliaria Alicante,Нерухомість,Рієлторська агенція,Playa Flamenca,966 36 65 21,https://mediterraneanhomes.century21.es/?utm_source=GMB&utm_medium=google-my-business&utm_campaign=Google+My+Business,4.7,97,Sí,No,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Немає чатбота  ·  Залежність від телефону
Red Oriol,Нерухомість,Рієлторська агенція,Інша,966 73 77 50,http://www.redoriol.es/,4.8,735,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Inmobiliaria RK Playa Flamenca,Нерухомість,Рієлторська агенція,Інша,966 76 02 96,https://inmoplayaflamenca.com/?utm_source=GoogleBusiness&utm_medium=organic&utm_campaign=gbp-web,4.9,290,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Costa Blanca Homes in Spain Always the sun S.L.,Нерухомість,Рієлторська агенція,Playa Flamenca,603 14 83 78,http://www.costablancahomesinspain.com/,4.9,245,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Inmo Investments,Нерухомість,Рієлторська агенція,La Zenia,966 91 99 17,https://www.inmoinvestments.com/,4.8,227,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Home Pandora - Orihuela Costa Real Estate - Nieruchomo≈õci - Inmobiliaria,Нерухомість,Рієлторська агенція,Інша,+48 22 606 41 36,http://www.homepandora.com/,4.8,236,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Costa Invest Real Estate,Нерухомість,Рієлторська агенція,Playa Flamenca,966 76 04 22,https://costainvest.com/,4.1,413,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Investforhome ‚Äì Real Estate Orihuela Costa,Нерухомість,Рієлторська агенція,Campoamor,677 62 65 13,http://www.investforhome.com/,5.0,66,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
United Real Estate  ·  Inmobiliaria,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,675 15 94 22,https://unitedrealestate.es/,5.0,197,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Ibero Homes Inmobiliaria  ·  Real Estate üè°,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,609 68 15 05,https://www.iberohomes.com/,4.8,131,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Vivee real estate,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,966 73 01 29,https://viveesp.com/,4.8,65,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
CostaGroupEstates,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,966 89 06 25,http://www.costagroupestates.com/,4.9,117,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Antaal Life,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,622 11 84 20,https://www.antaal-life.com/,4.7,58,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
MORENO SCHMIDT,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,965 32 26 20,http://www.morenoschmidt.com/,4.4,102,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Jonathan Suárez  ·  Agente Inmobiliario REMAX  ·  Orihuela Costa,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,644 37 26 18,https://jonathansuarezr.com/,5.0,24,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Barceló - Real Estate in Orihuela Costa  ·  Estate Agents ¬∑ Property for sale Playa Flamenca,Нерухомість,Рієлторська агенція,Інша,966 36 74 14,http://www.barcelorealestate.com/,5.0,21,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Sol y Costa Mediterránea,Нерухомість,Рієлторська агенція,Інша,623 92 19 69,https://www.solycostamediterranea.com/?utm_source=google&utm_medium=gbp&utm_campaign=Orihuela+costa&utm_id=maps,4.9,40,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Немаєgularity Homes,Нерухомість,Рієлторська агенція,Інша,677 49 42 89,https://www.singularity-homes.com/,4.9,35,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
HusmanHagberg Orihuela Costa,Нерухомість,Рієлторська агенція,Інша,968 17 85 27,https://spanien.husmanhagberg.se/en/maklare/alicante/?utm_source=mybusiness&utm_medium=organic&utm_campaign=GMB&utm_content=alicante,4.8,37,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Azul Villa Properties,Нерухомість,Рієлторська агенція,Інша,697 89 71 56,http://azulvilla.pl/,4.6,28,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
Lundquist Nielsen S.L.,Нерухомість,Рієлторська агенція,Dehesa de Campoamor,966 70 12 33,http://www.dinbolig.com/,4.3,46,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM лідів + ШІ оцінка,Вже має базову присутність
